Amount,Country,Currency,MerchantId,CustomerId,HourOfDay,IsFraud
73.96,NZ,NZD,m_0226,c_01840,23,false
24.31,AU,AUD,m_0349,c_01139,23,false
30.58,AU,AUD,m_0045,c_02989,8,false
93.30,BR,BRL,m_0644,c_02534,13,false
22.36,AU,AUD,m_0234,c_03167,19,false
65.66,AU,AUD,m_0465,c_02604,13,false
35.79,US,USD,m_0700,c_02655,20,false
16.25,US,USD,m_0705,c_02282,19,false
21.49,CA,CAD,m_0033,c_03298,22,false
56.90,AU,AUD,m_0323,c_00871,5,false
82.40,IN,INR,m_0143,c_01011,13,false
33.72,NZ,NZD,m_0409,c_01483,18,false
71.32,AU,AUD,m_0164,c_03245,19,false
64.93,US,USD,m_0542,c_01030,16,false
128.92,AU,AUD,m_0301,c_01781,10,false
126.54,RU,RUB,m_0641,c_01223,6,false
91.63,AU,AUD,m_0553,c_03906,11,false
66.15,AU,AUD,m_0115,c_03806,9,false
32.27,AU,AUD,m_0088,c_02998,10,false
37.36,CA,CAD,m_0676,c_01947,7,false
78.09,NG,NGN,m_0707,c_00824,5,false
20.86,GB,GBP,m_0463,c_00496,17,false
4.50,AU,AUD,m_0226,c_00030,18,false
9.41,AU,AUD,m_0073,c_02106,2,false
14.35,AU,AUD,m_0591,c_01937,18,false
25.89,US,USD,m_0442,c_01452,19,false
25.72,NZ,NZD,m_0101,c_00249,19,false
15.55,IN,INR,m_0550,c_01838,12,false
131.44,US,USD,m_0454,c_03310,6,false
64.69,AU,AUD,m_0096,c_03795,0,false
9.78,US,USD,m_0411,c_03697,22,false
1.74,RU,RUB,m_0466,c_01169,21,false
16.78,ZA,ZAR,m_0499,c_00635,20,false
5.33,AU,AUD,m_0766,c_01285,6,false
36.25,US,USD,m_0059,c_03936,7,false
11.32,AU,AUD,m_0241,c_01654,22,false
21.63,GB,GBP,m_0579,c_02142,18,false
50.44,GB,GBP,m_0406,c_00537,13,false
53.28,AU,AUD,m_0010,c_01878,6,false
92.94,AU,AUD,m_0272,c_00543,17,false
71.98,AU,AUD,m_0627,c_03306,8,false
16.07,GB,GBP,m_0271,c_00473,1,false
15.00,AU,AUD,m_0650,c_03494,19,false
23.84,IN,INR,m_0650,c_01735,6,false
33.94,RU,RUB,m_0565,c_02891,16,true
130.96,AU,AUD,m_0559,c_00148,7,false
9.69,AU,AUD,m_0374,c_03683,13,false
100.50,GB,GBP,m_0799,c_02294,14,false
61.88,GB,GBP,m_0167,c_03999,12,false
99.50,US,USD,m_0422,c_03286,14,false
2.47,AU,AUD,m_0111,c_01567,20,false
3.77,US,USD,m_0234,c_00914,21,false
275.86,NG,NGN,m_0522,c_01638,19,false
97.54,AU,AUD,m_0183,c_02379,13,false
48.08,AU,AUD,m_0322,c_01788,20,false
26.35,US,USD,m_0046,c_02904,13,false
13.28,SG,SGD,m_0755,c_02747,20,false
308.09,BR,BRL,m_0322,c_02718,4,false
70.76,AU,AUD,m_0335,c_01649,15,false
199.79,AU,AUD,m_0694,c_03065,15,false
3.25,AU,AUD,m_0312,c_01176,9,false
13.04,GB,GBP,m_0453,c_02768,16,false
10.99,IN,INR,m_0675,c_00348,7,false
6.16,GB,GBP,m_0241,c_02756,21,false
77.15,AU,AUD,m_0626,c_03481,16,false
32.70,IN,INR,m_0714,c_01573,20,false
10.24,GB,GBP,m_0789,c_03627,21,false
120.70,AU,AUD,m_0476,c_00206,4,false
65.92,AU,AUD,m_0684,c_02176,16,false
102.28,US,USD,m_0163,c_03047,23,false
36.52,CA,CAD,m_0785,c_03186,8,false
2.38,AU,AUD,m_0241,c_01113,13,false
48.35,AU,AUD,m_0711,c_00626,15,false
84.39,US,USD,m_0064,c_00848,15,false
13.05,CA,CAD,m_0784,c_02359,0,false
273.49,IN,INR,m_0552,c_03062,3,true
9.81,IN,INR,m_0447,c_01990,13,false
6.10,GB,GBP,m_0479,c_03767,11,false
9.50,AU,AUD,m_0679,c_00112,18,false
15.88,IN,INR,m_0389,c_01341,13,false
97.97,CA,CAD,m_0432,c_01034,21,false
2.23,NZ,NZD,m_0230,c_02663,14,false
38.10,GB,GBP,m_0686,c_00469,16,false
58.55,GB,GBP,m_0621,c_02488,7,false
101.55,AU,AUD,m_0590,c_02775,13,false
42.23,BR,BRL,m_0708,c_03403,18,false
6.14,CA,CAD,m_0580,c_03206,6,false
128.75,GB,GBP,m_0350,c_00052,19,false
64.85,NZ,NZD,m_0535,c_03955,20,false
56.92,IN,INR,m_0447,c_03383,23,false
23.61,IN,INR,m_0286,c_03612,6,false
69.12,US,USD,m_0030,c_02025,14,false
131.09,AU,AUD,m_0287,c_03606,8,false
69.28,US,USD,m_0088,c_00989,12,false
30.25,CA,CAD,m_0729,c_02011,19,false
43.19,AU,AUD,m_0314,c_02720,12,false
20.79,US,USD,m_0564,c_01355,20,false
8.12,AU,AUD,m_0198,c_01293,20,false
13.01,CA,CAD,m_0757,c_01984,12,false
18.73,CA,CAD,m_0199,c_01214,10,false
11.25,AU,AUD,m_0047,c_03991,13,false
148.59,BR,BRL,m_0503,c_00421,21,false
141.00,US,USD,m_0053,c_01035,11,false
48.28,SG,SGD,m_0591,c_02579,10,false
43.41,SG,SGD,m_0255,c_00486,0,false
28.44,US,USD,m_0536,c_01559,21,false
49.05,IN,INR,m_0583,c_02544,2,false
41.56,AU,AUD,m_0077,c_00642,17,false
17.78,AU,AUD,m_0073,c_02816,23,false
14.12,CA,CAD,m_0203,c_01742,21,false
14.47,AU,AUD,m_0074,c_00245,11,false
30.66,NZ,NZD,m_0450,c_00510,13,false
27.88,US,USD,m_0506,c_01794,17,false
49.63,AU,AUD,m_0590,c_02405,19,false
28.87,AU,AUD,m_0532,c_02669,23,false
11.30,ZA,ZAR,m_0504,c_03970,22,false
24.52,AU,AUD,m_0165,c_01351,22,false
29.58,GB,GBP,m_0564,c_00151,21,false
41.45,AU,AUD,m_0527,c_03379,3,false
29.82,AU,AUD,m_0511,c_02562,21,false
48.77,AU,AUD,m_0449,c_03608,13,false
31.39,RU,RUB,m_0727,c_00649,12,false
9.85,SG,SGD,m_0664,c_03409,10,false
38.19,US,USD,m_0250,c_01871,16,false
9.08,BR,BRL,m_0072,c_01132,11,false
32.43,AU,AUD,m_0306,c_03431,20,false
1.44,US,USD,m_0782,c_02226,17,false
4.78,IN,INR,m_0586,c_01569,1,false
139.98,AU,AUD,m_0396,c_02719,23,false
119.98,AU,AUD,m_0515,c_03955,1,false
63.23,IN,INR,m_0468,c_00063,17,false
47.04,GB,GBP,m_0272,c_01387,16,false
121.27,AU,AUD,m_0547,c_01557,19,false
69.96,US,USD,m_0647,c_02804,12,false
14.63,AU,AUD,m_0103,c_01818,22,false
25.76,AU,AUD,m_0301,c_01469,9,false
7.95,US,USD,m_0185,c_00697,21,false
9.31,US,USD,m_0598,c_00587,16,false
14.83,US,USD,m_0477,c_03692,21,false
32.91,AU,AUD,m_0307,c_02618,4,false
44.26,ZA,ZAR,m_0243,c_01563,6,false
13.58,ZA,ZAR,m_0675,c_01622,22,false
31.23,GB,GBP,m_0621,c_03053,6,false
16.29,AU,AUD,m_0225,c_02608,8,false
234.35,CA,CAD,m_0644,c_00398,7,false
19.91,AU,AUD,m_0374,c_03000,18,false
3.07,AU,AUD,m_0544,c_02056,8,false
11.02,US,USD,m_0118,c_01919,8,false
59.08,AU,AUD,m_0378,c_02756,16,false
148.85,US,USD,m_0111,c_02765,14,false
26.98,IN,INR,m_0651,c_03375,10,false
12.38,GB,GBP,m_0039,c_01247,9,false
39.14,US,USD,m_0714,c_03875,20,false
1.28,NZ,NZD,m_0502,c_02522,6,false
16.28,AU,AUD,m_0456,c_03894,16,false
31.01,RU,RUB,m_0368,c_00249,19,false
8.41,AU,AUD,m_0094,c_02715,23,false
71.48,RU,RUB,m_0250,c_00516,14,false
85.16,SG,SGD,m_0222,c_03331,18,false
51.54,AU,AUD,m_0284,c_03517,0,false
63.61,AU,AUD,m_0016,c_01468,7,false
28.42,AU,AUD,m_0130,c_03039,9,false
8.57,AU,AUD,m_0526,c_02432,14,false
12.75,BR,BRL,m_0675,c_02136,21,false
14.00,AU,AUD,m_0437,c_02811,3,false
54.90,AU,AUD,m_0282,c_02558,11,false
37.22,AU,AUD,m_0302,c_01859,4,false
172.93,CA,CAD,m_0667,c_03596,19,false
84.28,AU,AUD,m_0424,c_01389,12,false
25.67,NZ,NZD,m_0682,c_01045,14,false
20.96,BR,BRL,m_0088,c_00382,22,false
38.77,US,USD,m_0601,c_03919,9,false
18.12,AU,AUD,m_0769,c_01733,19,false
84.51,AU,AUD,m_0111,c_01435,12,false
51.92,CA,CAD,m_0440,c_03462,21,false
20.35,GB,GBP,m_0027,c_02495,17,false
17.50,NZ,NZD,m_0360,c_00026,14,false
14.26,GB,GBP,m_0649,c_03981,20,false
216.03,AU,AUD,m_0333,c_03182,20,false
49.90,IN,INR,m_0633,c_00204,21,false
12.18,GB,GBP,m_0425,c_01119,16,false
30.91,AU,AUD,m_0695,c_02430,19,false
231.54,AU,AUD,m_0057,c_00032,18,false
13.50,AU,AUD,m_0765,c_01764,16,false
21.87,NZ,NZD,m_0685,c_03303,22,false
18.88,NZ,NZD,m_0080,c_03532,16,false
9.80,US,USD,m_0118,c_01660,13,false
21.74,SG,SGD,m_0707,c_03768,22,false
25.55,AU,AUD,m_0537,c_00323,15,false
53.89,AU,AUD,m_0079,c_02091,11,false
19.49,AU,AUD,m_0745,c_03925,8,false
49.87,AU,AUD,m_0778,c_02685,21,false
61.45,US,USD,m_0579,c_02634,19,false
28.66,IN,INR,m_0451,c_00280,11,false
18.29,CA,CAD,m_0520,c_00304,14,false
43.04,AU,AUD,m_0661,c_03540,6,false
188.34,US,USD,m_0043,c_01843,5,false
93.96,AU,AUD,m_0155,c_03923,17,false
36.81,NZ,NZD,m_0041,c_01015,11,false
18.36,US,USD,m_0419,c_03173,3,false
38.94,CA,CAD,m_0338,c_00388,10,false
39.07,AU,AUD,m_0342,c_00334,7,false
4.11,AU,AUD,m_0679,c_01606,5,false
3.86,AU,AUD,m_0337,c_03331,19,false
66.35,BR,BRL,m_0096,c_02647,4,false
58.27,AU,AUD,m_0350,c_03882,12,false
9.99,ZA,ZAR,m_0104,c_02080,13,false
